,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
129,CAPITAL INTERNATIONAL MANPOWER PVT. LTD.,,24,3,27
130,CAPITAL RECRUITMENT,SERVICES P.LTD.,0,3,3
131,CARAVAN EMPLOYMENT SERVICES PVT. LTD.,,22,0,22
132,care professional service pvt.ltd,,0,2,2
,CAREER DEVELOPMENT HUMAN RESOURCE PVT.,,,,
133,LTD.(MAHARAJA HUMAN RESOURCE PVT.LTD),,12,1,13
134,CAREER INTERNATIONAL SERVICES (P) LTD.,,19,0,19
135,CENTRAL CAPITAL SERVICES PVT.LTD.,,88,0,88
136,CHANDANI MANAGEMENT SERVICES PVT. LTD.,,13,3,16
,CHANDRA KAMANA MANPOWER PVT.LTD. (A.D. CAREERS,,,,
137,PVT.LTD.),,104,12,116
138,Cherish Oversease Pvt. Ltd,,31,7,38
139,CHINARI OVERSEAS PVT. LTD.,,6,0,6
140,CLASSIC OVERSEAS MANPOWER PVT. LTD.,,3,0,3
141,CODE INTERNATIONAL SERVICES PVT. LTD.,,47,6,53
142,Confident International Manpower Pvt.Ltd,29,4,33
143,CONTINENTAL H.R.D. CONSULTANTS PVT. LTD.,15,1,16
